type,5:1,7_5:1,10:1,15:1,20:1,25:1,30:1,40:1,50:1,60:1,80:1,100:1,legend,mass
,"P 1 =0,09
   / 1400 /:  AIS56B4",,,,,,,,,,,,,
,NMRV-025,"280,0 2,7 4,1","186,7 3,9 2,8","140,0 65 2,0","93,3 7,3 1,6","70,0 9,2 1,3",,"46,7 12 1,1","35,0 15 0,9",,,,,n 2 M 2 F.S.
,NMRV-030,"280,0 2,7 6,7","186,7 3,9 4,6","140,0 5,0 3,6","93,3 7,1 2,5","70,0 9,0 2,0","56,0 10 2,0","46,7 12 1,7","35,0 14 1,2","28,0 17 1,0","23,3 19 0,9",,,n 2 M 2 F.S.
,NMRV-040,,,,,,,,,"28,0 19,0 2,0","23,3 21 1,7","17,5 26 1,3","14,0 29 1,0",n 2 M 2 F.S.
,"P1=0,12 / 1400
  /:  AIS63A4",,,,,,,,,,,,,
,NMRV-030,"280,0 3,6 5,1","186,7 5,2 3,4","140,0 6,7 2,7","93,3 9,5 1,9","70,0 12 1,5","56,0 14 1,5","46,7 16 1,3","35,0 19 0,9","28,0 23 0,8",,,,n 2 M 2 F.S.
,NMRV-040,,,,,,,"46,7 17,2 2,6","35,0 21 1,9","28,0 25 1,5","23,3 28 1,3","17,5 34 1,0","14,0 38 0,8",n 2 M 2 F.S.
,NMRV-050,,,,,,,,,,"23,3 29,0 2,3","17,5 35 1,9","14,0 40 1,4",n 2 M 2 F.S.
,"P 1 =0,18
  / 1400 /:  AIS63B4",,,,,,,,,,,,,
,NMRV-030,"280,0 5,3 3,4","186,7 7,8 2,3","140,0 10 1,8","93,3 14 1,3","70,0 18 1,0","56,0 21 1,0","46,7 24 0,8",,,,,,n 2 M 2 F.S.
,NMRV-040,,,,,"70,0 19,2 2,0","56,0 23 1,7","46,7 26 1,7","35,0 32 1,3","28,0 38 1,0","23,3 43 0,8",,,n 2 M 2 F.S.
,NMRV-050,,,,,,,,"35,0 32,9 2,3","28,0 39 1,9","23,3 43 1,6","17,5 52 1,2","14,0 60 0,9",n 2 M 2 F.S.
,-,i,,",",,,,,,,,,,
,5:1,"7,5:1",10:1,15:1,20:1,25:1,30:1,40:1,50:1,60:1,80:1,100:1,,
,"P 1 =1,1
   / 1400 /:  AIS90S4",,,,,,,,,,,,,
,NMRV-063,,"186,7 49,5 2,6","140,0 65 2,0","93,3 93 1,5","70,0 122 1,1","56,0 146 0,9","46,7 167 1,0",,,,,,n 2 M 2 F.S.
,NMRV-075,,,,"93,3 95,7 2,1","70,0 123 1,7","56,0 150 1,3","46,7 171 1,3","35,0 216 1,0",,,,,n 2 M 2 F.S.
,NMRV-090,,,,,,,,"35,0 225,1 1,6","28,0 270 1,3","23,3 311 1,0",,,n 2 M 2 F.S.
,NMRV-1 10,,,,,,,,,"28,0 281,4 2,1","23,3 324 1,7","17,5 402 1,2","14,0 473 1,0",n 2 M 2 F.S.
,NMRV-130,,,,,,,,,,,"17,5 408,2 2,1","14,0 480 1,5",n 2 M 2 F.S.
,"P 1 =1,5
   / 1400 /:  AIS90L4",,,,,,,,,,,,,
,NMRV-063,,"186,7 67,5 1,9","140,0 89 1,5","93,3 127 1,1","70,0 166 0,8",,,,,,,,n 2 M 2 F.S.
,NMRV-075,,,"140,0 90,0 2,2","93,3 130 1,5","70,0 168 1,3","56,0 205 1,0","46,7 233 1,0",,,,,,n 2 M 2 F.S.
,NMRV-090,,,,,"70,0 171,9 2,1","56,0 210 1,6","46,7 239 1,7","35,0 307 1,2","28,0 368 0,9","23,3 424 0,8",,,n 2 M 2 F.S.
,NMRV-110,,,,,,,,"35,0 319,2 1,9","28,0 384 1,6","23,3 442 1,3","17,5 548 0,9",,n 2 M 2 F.S.
,NMRV-130,,,,,,,,,,,"17,5 556,6 1,5","14,0 655 1,1",n 2 M 2 F.S.
,"P 1 =2,2
   / 1400 /:  AIS100LA4",,,,,,,,,,,,,
,NMRV-075,,"186,7 100,2 1,6","140,0 132 1,5","93,3 191 1,0",,,,,,,,,n 2 M 2 F.S.
,NMRV-090,,"186,7 101,3 2,9","140,0 134 2,3","93,3 194 1,9","70,0 252 1,4","56,0 308 1,1","46,7 351 1,2",,,,,,n 2 M 2 F.S.
,NMRV-1 10,,,,,"70,0 255,1 2,2","56,0 315 1,9","46,7 356 1,8","35,0 468 1,3","28,0 563 1,1","23,3 648 0,9",,,n 2 M 2 F.S.
,NMRV-130,,,,,,,,"35,0 468,2 2,2","28,0 563 1,7","23,3 648 1,4","17,5 816 1,0",,n 2 M 2 F.S.
,NMRV-150,,,,,,,,,"28,0 570,3 2,5","23,3 657 1,9","17,5 816 1,4","14,0 960 1,0",n 2 M 2 F.S.
-,i,,",",,,,,,,,,,,
5:1,"7,5:1",10:1,15:1,20:1,25:1,30:1,40:1,50:1,60:1,80:1,100:1,,,
"P 1 =3,0
   / 1400 /:  AIS100LB4",,,,,,,,,,,,,,
NMRV-075,,"186,7 136,6 1,4","140,0 180 1,1","93,3 261 0,8",,,,,,,,,n 2 M 2 F.S.,"31,8"
NMRV-090,,"186,7 138,1 2,1","140,0 182 1,7","93,3 264 1,4","70,0 344 1,0","56,0 420 0,8","46,7 479 0,9",,,,,,n 2 M 2 F.S.,"35,8"
NMRV-1 10,,,,"93,3 264,0 2,2","70,0 348 1,6","56,0 430 1,4","46,7 485 1,3","35,0 638 1,0","28,0 767 0,8",,,,n 2 M 2 F.S.,"57,8"
NMRV-130,,,,,,"56,0 429,8 2,2","46,7 491 2,1","35,0 638 1,6","28,0 767 1,3","23,3 884 1,0","17,5 1113 0,8",,n 2 M 2 F.S.,"70,8"
NMRV-150,,,,,,,,,"28,0 777,6 1,8","23,3 896 1,4","17,5 1113 1,0","14,0 1310 0,8",n 2 M 2 F.S.,"106,8"
"P 1 =4,0
   / 1400 /:  AIS1124",,,,,,,,,,,,,,
NMRV-090,,"186,7 184,2 1,6","140,0 243 1,3","93,3 352 1,0","70,0 458 0,8",,,,,,,,n 2 M 2 F.S.,"42,4"
NMRV-1 10,,,"140,0 242,8 2,1","93,3 352 1,6","70,0 464 1,2","56,0 573 1,0","46,7 647 1,0",,,,,,n 2 M 2 F.S.,"64,4"
NMRV-130,,,,,,"56,0 573,0 1,6","46,7 655 1,6","35,0 851 1,2","28,0 1023 1,0","23,3 1179 0,8",,,n 2 M 2 F.S.,"77,4"
NMRV-150,,,,,,,,,"28,0 1037 1,4","23,3 1195 1,1","17,5 1484 0,8",,n 2 M 2 F.S.,"113,4"
"P 1 =5,5
   / 1400 /:  AIS132S4",,,,,,,,,,,,,,
NMRV-1 10,,"186,7 253,2 1,9","140,0 334 1,6","93,3 484 1,2","70,0 638 0,9",,,,,,,,n 2 M 2 F.S.,"77,3"
NMRV-130,,,"140,0 333,9 2,5","93,3 490 1,9","70,0 645 1,4","56,0 788 1,2","46,7 900 1,2","35,0 1171 0,9",,,,,n 2 M 2 F.S.,"90,3"
NMRV-150,,,,,"70,0 645,3 2,0","56,0 788 1,5","46,7 934 1,3","35,0 1171 1,3","28,0 1426 1,0","23,3 1643 0,8",,,n 2 M 2 F.S.,"126,3"
"P 1 =7,5
   / 1400 /:  AIS132M4",,,,,,,,,,,,,,
NMRV-1 10,,"186,7 345,3 1,4","140,0 455 1,1","93,3 660 0,9",,,,,,,,,n 2 M 2 F.S.,"89,8"
NMRV-130,,"186,7 349,2 2,1","140,0 455 1,8","93,3 668 1,4","70,0 880 1,0","56,0 1074 0,9","46,7 1228 0,8","35,0 1596 0,7",,,,,n 2 M 2 F.S.,"102,8"
NMRV-150,,,,,"70,0 880,0 1,5","56,0 1074 1,1","46,7 1274 0,9","35,0 1596 1,0",,,,,n 2 M 2 F.S.,"138,8"
"P 1 =11,0
   / 1400 /:  AIS160M4",,,,,,,,,,,,,,
NMRV-150,,"186,7 512,1 2,3","140,0 675 1,8","93,3 990 1,3","70,0 1291 1,0","56,0 1576 0,8",,,,,,,n 2 M 2 F.S.,"174,0"
"P 1 =15,0
   / 1400 /:  AIS160L4",,,,,,,,,,,,,,
NMRV-150,,"186,7 698,3 1,7","140,0 921 1,3","93,3 1351 0,9","70,0 1760 0,7",,,,,,,,n 2 M 2 F.S.,"174,0"
